"id","x","y","eame","heth","Deciduous","Evergreen","Mixed","Shrub","Crops","WoodyWetland","Developed","Open","Herb","Forest","MinT","Rain"
22,537569.6425,390279.0243,0,1,0.743055555555556,0,0.0694444444444444,0.0694444444444444,0,0.00694444444444444,0.00694444444444444,0.104166666666667,0,0.8125,13.5972481777707,117.554268722203
23,537846.2911,387312.0254,0,0,0.205673758865248,0.0141843971631206,0.049645390070922,0,0.148936170212766,0.25531914893617,0.0212765957446809,0.0851063829787234,0.219858156028369,0.269503546099291,13.6183029385056,117.712903470747
24,535405.6844,391448.7336,0,0,0.571428571428571,0.05,0.164285714285714,0,0,0,0.0142857142857143,0.178571428571429,0.0214285714285714,0.785714285714286,13.6005052600759,117.222708253189
25,535963.5234,390540.4071,0,1,0.848920863309353,0,0,0,0,0,0,0.079136690647482,0.0719424460431655,0.848920863309353,13.6085391211424,117.476498502763
26,537902.498,381648.8536,0,1,0.159420289855072,0.152173913043478,0.355072463768116,0,0,0.0652173913043478,0,0.144927536231884,0.123188405797101,0.666666666666667,13.7237373912134,117.355364164382
27,535104.0849,380944.3942,0,1,0.543478260869565,0,0,0.072463768115942,0.0144927536231884,0,0.0652173913043478,0.130434782608696,0.173913043478261,0.543478260869565,13.773509847091,116.849491328904
28,538806.1338,378150.5338,0,1,0.242857142857143,0.121428571428571,0.185714285714286,0,0.207142857142857,0.0642857142857143,0.0142857142857143,0.164285714285714,0,0.55,13.8386361611312,116.343843684347
29,538981.4497,380618.9312,0,1,0.23021582733813,0.0935251798561151,0.654676258992806,0,0.0215827338129496,0,0,0,0,0.97841726618705,13.7384781103852,117.153973741227
30,538697.9888,378894.3731,0,0,0.123188405797101,0.0797101449275362,0.231884057971014,0,0.420289855072464,0,0.0217391304347826,0.123188405797101,0,0.434782608695652,13.8016701311967,116.602669273202
31,395832.633,499116.8269,0,0,0.0347222222222222,0,0,0,0.194444444444444,0,0,0.770833333333333,0,0.0347222222222222,13.954823546237,104.504465433623
32,395097.4631,498725.5235,0,0,0.376811594202899,0,0,0,0.260869565217391,0.159420289855072,0.0072463768115942,0.195652173913043,0,0.376811594202899,14.0185275149308,104.611573968357
33,393761.3604,498000.5197,0,0,0.0214285714285714,0,0,0,0.657142857142857,0,0.00714285714285714,0.271428571428571,0.0428571428571429,0.0214285714285714,14.0890199885643,104.833259838255
34,394334.0814,497867.0012,0,0,0.013986013986014,0,0,0,0.699300699300699,0,0.0909090909090909,0.160839160839161,0.034965034965035,0.013986013986014,13.9850516507358,104.712327588254
35,392175.5553,499488.9364,0,1,0.35,0,0,0,0.421428571428571,0,0.0428571428571429,0.185714285714286,0,0.35,13.8342303955024,105.15692435271
36,400947.3324,499500.7328,0,0,0.034965034965035,0,0,0,0.475524475524476,0,0.020979020979021,0.468531468531469,0,0.034965034965035,13.6775703118607,104.029836111047
37,400995.2425,501353.4108,1,0,0,0,0,0,0.134751773049645,0,0.00709219858156028,0.858156028368794,0,0,13.5807062152357,103.957572179625
38,399795.2048,502719.3897,0,0,0,0,0,0,0.75177304964539,0,0.0212765957446809,0.226950354609929,0,0,13.5555739523111,104.03446529076
39,397281.6928,502708.2877,0,0,0,0,0,0,0.79136690647482,0,0.0575539568345324,0.151079136690647,0,0,13.7441263721842,104.234425337644
40,397873.9963,504030.4704,0,0,0,0,0,0,0.0625,0,0,0.895833333333333,0.0416666666666667,0,13.5853017828768,104.094100401348
41,400871.3309,494653.7758,0,0,0,0,0,0,0.798561151079137,0,0.0287769784172662,0.172661870503597,0,0,14.0630925738616,103.68681322944
42,399261.0156,490360.0643,0,0,0.0857142857142857,0,0,0.0642857142857143,0.457142857142857,0,0.00714285714285714,0.335714285714286,0.05,0.0857142857142857,14.0428723393203,103.502224074763
43,399993.5817,490957.4951,0,0,0.468085106382979,0,0,0.163120567375887,0.276595744680851,0,0.00709219858156028,0.0851063829787234,0,0.468085106382979,14.0919930243994,103.497621543948
44,400800.9183,490740.1888,0,0,0.0283687943262411,0,0,0.0709219858156028,0.567375886524823,0,0,0.333333333333333,0,0.0283687943262411,14.144525994305,103.371207735669
45,400019.0382,494678.5779,0,1,0.136690647482014,0,0,0,0.244604316546763,0,0.00719424460431655,0.611510791366906,0,0.136690647482014,13.9360976637676,103.790640881967
46,532964.1591,522755.2685,1,0,0,0,0,0,0.688405797101449,0,0.144927536231884,0.166666666666667,0,0,11.990830919738,98.4951740940366
47,529866.1387,522736.3655,1,1,0.287769784172662,0,0,0,0.316546762589928,0,0,0.39568345323741,0,0.287769784172662,11.9578021239579,98.6224488491937
48,532721.9191,525617.6063,0,1,0.842857142857143,0,0.0428571428571429,0,0,0,0.00714285714285714,0.107142857142857,0,0.885714285714286,11.9801118775859,98.4102016517558
49,529914.9969,524654.9874,0,0,0.364285714285714,0,0.05,0,0.0571428571428571,0.328571428571429,0,0.0928571428571429,0.107142857142857,0.414285714285714,12.1116329654219,98.5575906675047
50,531129.6676,523571.6396,0,1,0.318840579710145,0,0,0,0.579710144927536,0,0,0.101449275362319,0,0.318840579710145,11.977795125478,98.5433095133092
51,535559.6006,528738.9611,0,1,0.0656934306569343,0.0802919708029197,0.072992700729927,0,0.423357664233577,0,0,0.0364963503649635,0,0.218978102189781,12.1008706697775,98.1430878252072
52,535100.4709,528376.7995,0,1,0.826086956521739,0.0072463768115942,0,0,0,0.0144927536231884,0,0.152173913043478,0,0.833333333333333,11.9876713208567,98.2193043239813
53,537276.9499,526497.1221,0,1,0.277372262773723,0.116788321167883,0.0802919708029197,0,0,0,0.0437956204379562,0.0583941605839416,0.102189781021898,0.474452554744526,12.1630549626496,97.9124630688401
54,535145.05,527132.672,0,1,0.323741007194245,0,0,0,0.568345323741007,0,0.00719424460431655,0.100719424460432,0,0.323741007194245,11.9812659823033,98.2112412645948
55,535208.2517,526316.2961,0,1,0.681159420289855,0,0,0,0.072463768115942,0,0.0072463768115942,0.239130434782609,0,0.681159420289855,12.0108327595936,98.2075880232906
56,536125.7799,520311.8399,0,0,0.079136690647482,0.0215827338129496,0.0503597122302158,0,0.676258992805755,0,0.00719424460431655,0.079136690647482,0,0.151079136690647,12.1001291649317,98.3442999206734
57,538459.3811,518716.2586,0,0,0.25531914893617,0,0,0,0.560283687943262,0,0,0.184397163120567,0,0.25531914893617,12.0429264726371,97.9234695949346
58,535892.669,521119.9958,0,0,0.0575539568345324,0.0287769784172662,0,0,0.712230215827338,0,0.0431654676258993,0.158273381294964,0,0.0863309352517986,12.0150306707955,98.2648552256952
59,539238.4265,519526.2022,0,0,0.215827338129496,0,0,0,0.266187050359712,0,0.0143884892086331,0.503597122302158,0,0.215827338129496,12.1576169660713,97.6652899041874
60,536875.3161,519249.5347,0,1,0.294964028776978,0.0575539568345324,0,0,0.482014388489209,0.0647482014388489,0,0.100719424460432,0,0.352517985611511,12.1382964668913,98.3232756802052
61,651494.4007,332274.5155,0,0,0,0,0,0,0.693430656934307,0,0.0364963503649635,0.27007299270073,0,0,14.0769197176972,105.266533961279
62,653761.8861,328790.5088,0,0,0,0,0,0,0,0,0.609929078014184,0.312056737588652,0.0780141843971631,0,14.1355543392004,105.082756591857
63,654399.5844,329057.6096,0,0,0.107913669064748,0,0,0,0.00719424460431655,0.0719424460431655,0.654676258992806,0.143884892086331,0.0143884892086331,0.107913669064748,14.0017978627343,105.031297507349
64,654432.0706,328687.1721,0,0,0,0,0,0,0,0,0.863309352517986,0.136690647482014,0,0,14.1278850597569,105.083315135509
65,653538.9497,332072.5166,0,0,0.145985401459854,0,0,0,0.744525547445255,0,0.0437956204379562,0.0656934306569343,0,0.145985401459854,14.0657671298543,104.972172559266
66,658052.3806,336935.5042,1,0,0,0,0,0,0.531914893617021,0.00709219858156028,0.0354609929078014,0.375886524822695,0.049645390070922,0,13.8776903179632,103.12918407558
67,660565.862,335764.2307,1,0,0,0,0,0,0.594202898550725,0,0.0434782608695652,0.36231884057971,0,0,13.9116827753092,102.623202288742
68,658958.2627,336156.3958,0,0,0,0,0,0,0.507246376811594,0.072463768115942,0.0869565217391304,0.311594202898551,0.0217391304347826,0,13.8668866155843,103.103227430374
69,660078.2507,337772.9119,1,0,0.0141843971631206,0,0,0,0.680851063829787,0,0.0141843971631206,0.290780141843972,0,0.0141843971631206,13.8862155211505,102.550836998502
70,660614.9893,334535.2821,0,0,0.00714285714285714,0,0,0,0.378571428571429,0.257142857142857,0.0857142857142857,0.121428571428571,0.0928571428571429,0.00714285714285714,13.9571251835242,102.80225389683
71,659903.692,324110.8337,0,0,0.212765957446809,0,0,0,0,0.297872340425532,0.0638297872340425,0.205673758865248,0.049645390070922,0.212765957446809,13.8925911969875,104.420972485346
72,658808.5143,328261.3783,0,0,0,0,0,0,0.0555555555555556,0,0.291666666666667,0.652777777777778,0,0,13.6192668047219,104.724574248053
73,659976.8441,328282.1817,1,0,0,0,0,0,0.244604316546763,0,0.136690647482014,0.618705035971223,0,0,13.5860777875213,104.351542832383
74,659939.015,326512.5759,0,0,0.0719424460431655,0,0,0,0.223021582733813,0.194244604316547,0.0575539568345324,0.453237410071942,0,0.0719424460431655,13.6488689371006,104.392220516507
75,660645.1994,326876.1277,0,0,0.0928571428571429,0,0,0,0,0.0357142857142857,0.4,0.471428571428571,0,0.0928571428571429,13.8604662736955,103.968419943532
76,356085.4712,553789.3966,0,0,0,0,0,0,0.195652173913043,0,0.0289855072463768,0.731884057971014,0.0434782608695652,0,13.5976031219517,106.236470025663
77,355759.2806,551757.9319,0,0,0.314285714285714,0.0785714285714286,0,0,0,0,0.0142857142857143,0.342857142857143,0.157142857142857,0.392857142857143,13.5600577947087,105.941827210963
78,358328.4122,551350.0946,0,0,0,0,0,0,0.223021582733813,0,0.0215827338129496,0.755395683453237,0,0,13.5429623560914,105.659129646533
79,356828.3045,551379.9288,0,1,0.464285714285714,0,0,0,0,0.05,0.0214285714285714,0.464285714285714,0,0.464285714285714,13.5700258378142,105.847457223442
80,357747.0441,552820.2573,0,1,0.3,0,0,0,0.121428571428571,0,0.0142857142857143,0.421428571428571,0.142857142857143,0.3,13.5831703655384,105.853996568237
81,362767.0599,558401.0512,0,1,0.177304964539007,0,0,0,0.191489361702128,0,0.0425531914893617,0.588652482269504,0,0.177304964539007,13.3968519158786,106.52649698769
82,362020.4536,560366.3166,0,0,0,0,0,0,0.217391304347826,0,0.0652173913043478,0.717391304347826,0,0,13.3837103556328,106.832567173418
83,363273.1935,559973.6084,0,0,0.36231884057971,0,0,0,0,0.0942028985507246,0.0144927536231884,0.405797101449275,0.123188405797101,0.36231884057971,13.4035298648193,106.568366640773
84,360021.1971,559528.7473,1,0,0,0,0,0,0.156028368794326,0.0141843971631206,0.0283687943262411,0.716312056737589,0.0851063829787234,0,13.6055066738589,106.887477210886
85,361148.4893,557698.0957,1,0,0,0.036231884057971,0,0,0.108695652173913,0,0.0217391304347826,0.789855072463768,0.0434782608695652,0.036231884057971,13.5448259729445,106.531198083278
86,358769.562,551303.2002,0,0,0.0652173913043478,0,0,0,0,0.0072463768115942,0.0144927536231884,0.855072463768116,0.0579710144927536,0.0652173913043478,13.5426718429551,105.561546202937
87,358562.0974,548128.0226,0,0,0.0652173913043478,0,0,0,0.289855072463768,0,0,0.521739130434783,0.123188405797101,0.0652173913043478,13.4450001716614,105.359922814714
88,359197.7957,546794.4381,0,0,0.210144927536232,0,0,0,0.376811594202899,0,0,0.347826086956522,0.0652173913043478,0.210144927536232,13.4379288706975,105.219837941068
89,362444.2017,546845.8144,1,0,0.109489051094891,0,0,0,0.153284671532847,0,0.0072992700729927,0.583941605839416,0.145985401459854,0.109489051094891,13.4915706676643,104.592258113758
90,362463.0557,547317.7873,0,0,0.0709219858156028,0,0,0,0.0921985815602837,0.00709219858156028,0,0.829787234042553,0,0.0709219858156028,13.5203713055358,104.650148405932
91,608256.9404,606181.0446,0,1,0.695652173913043,0,0.13768115942029,0,0,0.072463768115942,0,0.0942028985507246,0,0.833333333333333,10.6757317949757,97.0647932489158
92,608311.0455,607550.9076,0,0,0.242857142857143,0,0.0285714285714286,0.0642857142857143,0,0.571428571428571,0,0.0928571428571429,0,0.271428571428571,10.6200546860653,97.2778353277233
93,607977.7812,607213.8838,0,1,0.0928571428571429,0.392857142857143,0.0357142857142857,0.0142857142857143,0,0.257142857142857,0,0.135714285714286,0.00714285714285714,0.521428571428571,10.6394120853079,97.2327243463469
94,611553.5145,606305.6571,0,1,0.673913043478261,0,0.115942028985507,0,0,0.0507246376811594,0,0.159420289855072,0,0.789855072463768,10.5877800286335,96.7998904922819
95,607831.4669,605941.6192,0,1,0.5,0,0.260869565217391,0.0797101449275362,0,0.123188405797101,0,0,0.036231884057971,0.760869565217391,10.6463381021988,97.1360142926674
96,611356.4638,609718.8548,0,1,0,0,0,0,0,0.907801418439716,0,0.0921985815602837,0,0,10.6301848607922,97.3643031022685
97,614275.8315,611377.463,0,1,0.273381294964029,0.151079136690647,0.244604316546763,0,0,0.223021582733813,0.0503597122302158,0.0575539568345324,0,0.669064748201439,10.4012210500398,97.5610014530159
98,613697.5556,614552.5719,0,1,0.971014492753623,0,0,0,0,0.0289855072463768,0,0,0,0.971014492753623,10.4052052428359,97.932839613317
99,614826.5306,611092.5103,0,1,0.156028368794326,0,0.234042553191489,0,0.24822695035461,0.163120567375887,0.0851063829787234,0.113475177304965,0,0.390070921985816,10.4328002342538,97.4093684919053
100,614742.0701,610687.8062,0,1,0.188405797101449,0,0.0217391304347826,0.0507246376811594,0,0.615942028985507,0,0.0942028985507246,0,0.210144927536232,10.4328002342538,97.4093684919053
101,615904.5875,611685.9395,0,1,0.223021582733813,0,0.223021582733813,0.0431654676258993,0,0.503597122302158,0,0,0.00719424460431655,0.446043165467626,10.295617457385,97.571599599268
102,612040.1521,614652.0795,0,0,0.485507246376812,0.144927536231884,0.282608695652174,0,0,0.0869565217391304,0,0,0,0.91304347826087,10.3954169037555,97.9021989086558
103,613056.8706,602259.6527,0,1,0.898550724637681,0,0.0217391304347826,0.0289855072463768,0,0.0507246376811594,0,0,0,0.920289855072464,10.4659987871932,95.9625847501788
104,614559.2029,604603.9241,0,1,0.957446808510638,0,0,0,0,0,0,0.0425531914893617,0,0.957446808510638,10.4627397274353,96.1651712068189
105,612973.5746,604497.6547,0,1,0.840579710144927,0,0,0,0,0.159420289855072,0,0,0,0.840579710144927,10.5023721706358,96.3256036597642
106,615110.5128,605125.799,0,1,0.913669064748201,0,0,0,0,0,0,0.0863309352517986,0,0.913669064748201,10.4260091683576,96.3051619327495
107,616566.6038,602585.675,0,1,0.24113475177305,0,0,0,0,0.645390070921986,0,0.113475177304965,0,0.24113475177305,10.322040730305,95.4700811213568
108,615737.1089,605237.7064,0,1,0.375886524822695,0,0,0,0,0.524822695035461,0,0.099290780141844,0,0.375886524822695,10.3988768638821,96.2453376866454
109,570211.0517,438393.2285,1,0,0.0503597122302158,0,0,0,0.0215827338129496,0,0.0719424460431655,0.856115107913669,0,0.0503597122302158,13.2130108625984,101.941509206795
110,570488.9199,440651.4701,1,1,0,0,0,0,0.270833333333333,0,0.0625,0.666666666666667,0,0,13.2506436262837,102.096727151091
111,572088.0423,440128.6412,0,0,0.426573426573427,0.167832167832168,0,0,0.202797202797203,0.048951048951049,0,0.153846153846154,0,0.594405594405594,13.3488408327817,102.212757507272
112,573791.2919,438788.3723,0,0,0.0354609929078014,0,0,0,0.638297872340426,0,0.0141843971631206,0.312056737588652,0,0.0354609929078014,13.2235460090172,102.349836570336
113,570491.9878,441076.9425,0,0,0,0,0,0,0.690647482014389,0,0.0287769784172662,0.280575539568345,0,0,13.2225336140324,102.127586672634
114,576904.8588,446892.9476,0,0,0,0,0,0,0.905109489051095,0,0.0072992700729927,0.0875912408759124,0,0,13.2103652889397,102.094622553248
115,579479.4054,443774.4676,0,1,0.246376811594203,0,0.0579710144927536,0,0.434782608695652,0,0.0144927536231884,0.246376811594203,0,0.304347826086957,13.2842438279763,102.348815991967
116,577582.5608,444979.3476,0,0,0,0,0,0,0.4,0,0.0357142857142857,0.564285714285714,0,0,13.2745196059411,102.2237715823
117,577175.0261,443203.9354,0,1,0.231884057971014,0,0.0507246376811594,0,0.0869565217391304,0.260869565217391,0.0289855072463768,0.0942028985507246,0,0.282608695652174,13.3661524175043,102.369197946272
118,578540.3237,446024.3338,0,0,0.0138888888888889,0,0,0,0.604166666666667,0,0.0208333333333333,0.361111111111111,0,0.0138888888888889,13.1276264776317,102.167973741089
119,579366.2565,438120.2774,0,1,0.453237410071942,0,0.244604316546763,0,0.0287769784172662,0.143884892086331,0,0.129496402877698,0,0.697841726618705,13.4319851489698,102.866550646895
120,577723.191,436915.8018,0,0,0.0431654676258993,0,0,0,0.640287769784173,0,0.0287769784172662,0.287769784172662,0,0.0431654676258993,13.378084404054,102.779033032742
121,578541.8468,438068.3864,0,1,0.321428571428571,0.0928571428571429,0.0785714285714286,0,0.0571428571428571,0.35,0.0285714285714286,0.0714285714285714,0,0.492857142857143,13.4295700922893,102.814023301914
122,575261.8658,436516.7913,0,0,0.0567375886524823,0.0638297872340425,0,0,0.666666666666667,0,0,0.212765957446809,0,0.120567375886525,13.2638391381029,102.544453516737
123,576560.87,438159.7574,0,1,0.135714285714286,0,0,0,0.342857142857143,0,0.0214285714285714,0.471428571428571,0.0285714285714286,0.135714285714286,13.2323341509929,102.634420365428
124,357226.0235,662857.5852,0,1,0.683453237410072,0.0503597122302158,0.122302158273381,0,0,0.079136690647482,0,0.0647482014388489,0,0.856115107913669,11.1248810506159,107.686864433187
125,358608.0092,662631.6911,0,1,0.239130434782609,0.188405797101449,0.304347826086957,0.0652173913043478,0,0.108695652173913,0,0.0942028985507246,0,0.731884057971015,11.0325686178865,107.516281031733
126,360874.3487,663723.816,0,1,0.410071942446043,0.0431654676258993,0,0,0,0.359712230215827,0,0.18705035971223,0,0.453237410071942,10.9823488055733,106.783041036632
127,356826.6077,662702.6249,0,1,0.328571428571429,0,0.157142857142857,0.0928571428571429,0,0.328571428571429,0,0.0928571428571429,0,0.485714285714286,11.2046242379206,107.862488774017
128,360920.6139,665723.9901,0,1,0.0144927536231884,0.115942028985507,0.260869565217391,0,0,0.376811594202899,0,0.231884057971014,0,0.391304347826087,10.9123591714539,106.670935151569
129,360908.0596,665098.3292,0,1,0,0.00709219858156028,0.049645390070922,0,0,0.75886524822695,0,0.184397163120567,0,0.0567375886524823,10.9123591714539,106.670935151569
130,360895.9176,664634.9928,0,1,0,0.0431654676258993,0,0.0359712230215827,0,0.733812949640288,0.00719424460431655,0.179856115107914,0,0.0431654676258993,10.9204107507997,106.698339452843
131,362679.8172,669277.2632,0,1,0.333333333333333,0.036231884057971,0.239130434782609,0,0,0.036231884057971,0,0.231884057971014,0,0.608695652173913,10.8596701677294,106.303768082709
132,363809.0152,668982.3317,0,1,0.223021582733813,0.0359712230215827,0.172661870503597,0.0431654676258993,0,0.424460431654676,0,0.100719424460432,0,0.431654676258993,10.8897853078482,106.211588819398
133,362609.207,668687.5786,0,1,0.257142857142857,0.0642857142857143,0.25,0,0,0.142857142857143,0,0.1,0,0.571428571428571,10.8596701677294,106.303768082709
134,362985.1532,668165.2604,0,1,0,0.158273381294964,0.23021582733813,0,0,0.18705035971223,0,0.151079136690647,0,0.388489208633094,10.9004475990605,106.379833636527
135,362422.8858,669735.3578,0,1,0.271428571428571,0,0.00714285714285714,0,0,0.15,0,0.121428571428571,0,0.278571428571429,10.8543447100937,106.182878213738
136,364256.6055,661933.9029,0,1,0.579710144927536,0,0.159420289855072,0.260869565217391,0,0,0,0,0,0.739130434782609,11.0518612028058,106.753223326053
137,362552.6352,660902.6455,0,1,0.304347826086957,0,0.420289855072464,0.0579710144927536,0,0.101449275362319,0,0.115942028985507,0,0.72463768115942,11.0257692477878,107.010733559807
138,364566.6498,660886.3924,0,1,0.707142857142857,0,0,0.207142857142857,0,0.00714285714285714,0,0.0785714285714286,0,0.707142857142857,11.0434100539013,106.803535526224
139,364294.2389,660430.8375,0,1,0.804195804195804,0,0,0.0839160839160839,0,0,0,0.111888111888112,0,0.804195804195804,11.0020972773549,106.867348181754
140,365303.3768,660760.8628,0,1,0.446043165467626,0,0.0143884892086331,0,0,0.122302158273381,0,0.0935251798561151,0.323741007194245,0.460431654676259,11.1012262112631,106.741294224865
141,363423.5513,660254.1782,0,1,0.153284671532847,0,0.167883211678832,0.0072992700729927,0,0.576642335766423,0,0.0948905109489051,0,0.321167883211679,11.0172126678294,107.049715396637
142,365654.2128,660946.5153,0,1,0.525179856115108,0,0.0431654676258993,0,0,0.280575539568345,0,0.115107913669065,0.0359712230215827,0.568345323741007,11.1012262112631,106.741294224865
143,590912.1585,606312.2735,0,1,0.00694444444444444,0,0.715277777777778,0,0,0.194444444444444,0,0.0833333333333333,0,0.722222222222222,11.2186097906335,98.6588882155435
144,589085.9972,606520.5034,0,1,0,0,0.442857142857143,0,0,0.328571428571429,0.00714285714285714,0.221428571428571,0,0.442857142857143,11.1151199540572,98.6214474904958
145,590281.49,605650.5797,0,1,0,0,0.2,0,0,0.8,0,0,0,0.2,11.1028416971826,98.6553569310962
146,543952.7139,605353.1611,0,0,0.0719424460431655,0.0431654676258993,0.172661870503597,0,0.115107913669065,0.0863309352517986,0.23021582733813,0.165467625899281,0.115107913669065,0.287769784172662,11.4273988919709,99.6749870268263
147,588289.6401,606521.6563,0,1,0.127659574468085,0.0354609929078014,0.326241134751773,0,0,0.205673758865248,0,0.184397163120567,0.120567375886525,0.48936170212766,11.1718772839595,98.5706222603868
148,596822.6056,610932.2423,0,1,0.757142857142857,0,0.0428571428571429,0,0,0.0142857142857143,0,0.185714285714286,0,0.8,11.2741906710326,98.2689171516935
149,597320.612,613919.8995,0,1,0.664285714285714,0,0,0,0,0.164285714285714,0,0.0928571428571429,0,0.664285714285714,11.0288956243078,98.2869129180158
150,596596.7753,611271.6947,0,1,0.671428571428571,0,0,0,0,0.0714285714285714,0,0.0357142857142857,0,0.671428571428571,11.0895348839655,98.2950382437068
151,594211.6292,611738.1644,0,0,0.576388888888889,0,0,0,0,0.347222222222222,0,0.0763888888888889,0,0.576388888888889,11.4490552226065,98.3415023650697
152,595858.931,610845.8743,0,0,0.870503597122302,0,0,0,0,0.00719424460431655,0,0.122302158273381,0,0.870503597122302,11.3374773794033,98.3075337190496
153,595138.5207,601892.9075,0,1,0,0.335714285714286,0.0785714285714286,0,0,0.3,0,0.0928571428571429,0,0.414285714285714,11.0338283344487,98.3389669920152
154,594911.5312,600898.9634,0,1,0,0,0.223021582733813,0,0,0.474820143884892,0,0.151079136690647,0,0.223021582733813,11.0019793254677,98.305257510348
155,593340.1179,604085.9647,0,1,0,0,0.115107913669065,0,0,0.755395683453237,0,0.0935251798561151,0,0.115107913669065,11.0111061010293,98.6321716881796
156,592780.9829,603675.9968,0,0,0.0431654676258993,0,0.23021582733813,0,0,0.618705035971223,0,0.107913669064748,0,0.273381294964029,11.1442614864818,98.652514828214
157,593092.59,601989.5367,0,1,0,0.264285714285714,0.128571428571429,0,0,0.478571428571429,0,0.128571428571429,0,0.392857142857143,11.042139914862,98.6580029185169
158,594790.3164,604442.2434,0,1,0.0507246376811594,0,0.239130434782609,0,0,0.601449275362319,0,0.108695652173913,0,0.289855072463768,11.2065474515507,98.4667415575294
159,594304.1736,604424.1621,0,1,0.131944444444444,0,0.118055555555556,0,0,0.611111111111111,0,0.138888888888889,0,0.25,11.2065474515507,98.4667415575294
160,531136.9559,247708.9111,0,0,0,0,0,0,0,0,0.842857142857143,0.157142857142857,0,0,14.4633006857202,115.380586035127
161,530981.9511,247325.5658,0,0,0.0217391304347826,0,0,0,0.181159420289855,0,0.572463768115942,0.22463768115942,0,0.0217391304347826,14.3942276003397,115.445524379514
162,530837.9783,245639.7125,0,0,0.107142857142857,0,0,0.0428571428571429,0.0785714285714286,0,0.0142857142857143,0.757142857142857,0,0.107142857142857,14.5390403069263,115.683431941917
163,533861.0434,246873.237,0,0,0.211267605633803,0,0,0,0.669014084507042,0,0.0140845070422535,0.105633802816901,0,0.211267605633803,14.485751703417,115.474894618524
164,534271.3199,244935.2654,1,0,0,0,0,0,0.0928571428571429,0,0.00714285714285714,0.9,0,0,14.6669890832243,115.722882166899
